test_row,ensemble_probability,shap_base_value,sum_shap_values,reconstructed_probability,absolute_reconstruction_error
53,2.6323153170966628e-05,0.2002737159826043,-0.20024739282943288,2.632315317141476e-05,4.481312510743601e-16
54,3.782478399743447e-05,0.2002737159826043,-0.20023589119860666,3.7824783997636446e-05,2.019733122068934e-16
55,2.4014314279474296e-05,0.2002737159826043,-0.20024970166832456,2.4014314279729998e-05,2.557023061171282e-16
56,3.784097873268394e-05,0.2002737159826043,-0.2002358750038714,3.784097873288372e-05,1.997845790711883e-16
57,3.6270508149159134e-05,0.2002737159826043,-0.20023744547445488,3.627050814941635e-05,2.5721341289502986e-16
58,2.657489182039321e-05,0.2002737159826043,-0.20024714109078345,2.657489182084083e-05,4.476196431742185e-16
59,3.752475044972836e-05,0.2002737159826043,-0.20023619123215425,3.752475045004644e-05,3.1807781235293486e-16
60,0.0003489117548378,0.2002737159826043,-0.1999248042277663,0.00034891175483800496,2.0496842070838461e-16
61,2.626879343644262e-05,0.2002737159826043,-0.20024744718916748,2.626879343681221e-05,3.695909680731524e-16
62,0.0753577601517512,0.2002737159826043,-0.12491595583085281,0.07535776015175148,2.7755575615628914e-16
63,0.0001298161075018,0.2002737159826043,-0.20014389987510225,0.00012981610750203987,2.3987973066241786e-16
64,3.617936499516516e-05,0.2002737159826043,-0.2002375366176088,3.617936499550334e-05,3.381762101253849e-16
65,3.4607518506441005e-05,0.2002737159826043,-0.20023910846409737,3.4607518506923896e-05,4.828900950978876e-16
66,2.626879343644262e-05,0.2002737159826043,-0.20024744718916718,2.626879343711752e-05,6.749022998450704e-16
67,0.0001075776891411,0.2002737159826043,-0.20016613829346266,0.00010757768914163024,5.30242624981192e-16
68,0.0001418196485153,0.2002737159826043,-0.2001318963340888,0.00014181964851550655,2.065405138584886e-16
69,0.0512204558193713,0.2002737159826043,-0.14905326016323286,0.05122045581937143,1.3183898417423734e-16
70,0.0046294012764197,0.2002737159826043,-0.1956443147061843,0.004629401276420003,3.0357660829594124e-16
71,0.3682965218822065,0.2002737159826043,0.16802280589960264,0.36829652188220696,4.440892098500626e-16
72,9.90282153494614e-05,0.2002737159826043,-0.20017468776725494,9.902821534935047e-05,1.1092743477242317e-16
73,0.0001221580040148,0.2002737159826043,-0.20015155797858947,0.00012215800401482735,2.734899980094685e-17
74,0.0001013456082775,0.2002737159826043,-0.2001723703743266,0.00010134560827768091,1.8091268500636248e-16
75,0.9773066285913732,0.2002737159826043,0.7770329126087698,0.9773066285913741,8.881784197001252e-16
76,0.0081051321494273,0.2002737159826043,-0.19216858383317698,0.008105132149427319,1.9081958235744878e-17
77,0.0019307314106,0.2002737159826043,-0.19834298457200406,0.0019307314106002393,2.393918396847994e-16
78,0.0001192509828266,0.2002737159826043,-0.20015446499977751,0.0001192509828267796,1.795980898722238e-16
79,0.9907280442250388,0.2002737159826043,0.7904543282424331,0.9907280442250375,1.3322676295501878e-15
80,0.0030300935715738,0.2002737159826043,-0.1972436224110304,0.003030093571573883,8.283304597789254e-17
