configuration,split_seed,validation_seed,model_seed,xgb_weight,lgbm_weight,accuracy,precision,recall,macro_f1,auc_roc,auc_pr,brier_score,tn,fp,fn,tp,partition_index
Cell_A_primary_50_50_without_attendance_decay,62,63,45,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9919540229885058,0.9705072254249553,0.02748928703302318,85,2,1,19,2
Cell_A_primary_50_50_without_attendance_decay,62,63,46,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9913793103448276,0.9714075313203946,0.027975425976651386,85,2,1,19,2
Cell_A_primary_50_50_without_attendance_decay,62,63,47,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9913793103448275,0.9714075313203946,0.027079358808411017,85,2,1,19,2
Cell_A_primary_50_50_without_attendance_decay,62,63,48,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9919540229885058,0.9724828001375989,0.026437378503659438,85,2,1,19,2
Cell_A_primary_50_50_without_attendance_decay,62,63,49,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9913793103448276,0.9720868030290781,0.027853730944609353,85,2,1,19,2
Cell_A_primary_50_50_without_attendance_decay,62,63,50,0.5,0.5,0.9719626168224299,0.9047619047619048,0.95,0.9547441139151276,0.9919540229885057,0.9743487077909828,0.026560760217153152,85,2,1,19,2
Cell_A_primary_50_50_without_attendance_decay,62,63,51,0.5,0.5,0.9626168224299065,0.8636363636363636,0.95,0.9407530454042081,0.9913793103448275,0.9714075313203946,0.029200807696727334,84,3,1,19,2
Cell_A_primary_50_50_without_attendance_decay,72,73,42,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.9851190476190476,0.952275857798002,0.04208403610318111,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,72,73,43,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.9875992063492064,0.9570278058098219,0.04128378112220398,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,72,73,44,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.9871031746031745,0.9585971679090755,0.0419936395222709,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,72,73,45,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.9875992063492064,0.9597773813737717,0.04244928193862174,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,72,73,46,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.9861111111111112,0.9544078563148725,0.04176098384502844,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,72,73,47,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.9866071428571428,0.9559930012424087,0.041838595460771205,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,72,73,48,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.986111111111111,0.9537319504306333,0.04138515941317514,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,72,73,49,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.9841269841269841,0.9459830326817156,0.042880589381707905,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,72,73,50,0.5,0.5,0.9444444444444444,0.95,0.7916666666666666,0.9143763213530656,0.9866071428571428,0.9555880697795686,0.04363538929849328,83,1,5,19,3
Cell_A_primary_50_50_without_attendance_decay,72,73,51,0.5,0.5,0.9537037037037037,0.9523809523809523,0.8333333333333334,0.9298245614035088,0.9866071428571429,0.9543954369293273,0.04181667253955848,83,1,4,20,3
Cell_A_primary_50_50_without_attendance_decay,82,83,42,0.5,0.5,0.944954128440367,0.8620689655172413,0.9259259259259259,0.9279100529100529,0.9846431797651309,0.9372668299253892,0.03728754331581252,78,4,2,25,4
Cell_A_primary_50_50_without_attendance_decay,82,83,43,0.5,0.5,0.944954128440367,0.8620689655172413,0.9259259259259259,0.9279100529100529,0.9859981933152665,0.9501811583952735,0.03744121142491314,78,4,2,25,4
Cell_A_primary_50_50_without_attendance_decay,82,83,44,0.5,0.5,0.944954128440367,0.8620689655172413,0.9259259259259259,0.9279100529100529,0.9846431797651309,0.942769678148544,0.037177854183624716,78,4,2,25,4
Cell_A_primary_50_50_without_attendance_decay,82,83,45,0.5,0.5,0.944954128440367,0.8620689655172413,0.9259259259259259,0.9279100529100529,0.9841915085817524,0.9362612894179332,0.037866041464871526,78,4,2,25,4
Cell_A_primary_50_50_without_attendance_decay,82,83,46,0.5,0.5,0.9541284403669725,0.8666666666666667,0.9629629629629629,0.940612400566634,0.9850948509485095,0.9459544357777461,0.03785846835884279,78,4,1,26,4
Cell_A_primary_50_50_without_attendance_decay,82,83,47,0.5,0.5,0.944954128440367,0.8620689655172413,0.9259259259259259,0.9279100529100529,0.9819331526648599,0.917499248989226,0.03956250603511795,78,4,2,25,4
Cell_A_primary_50_50_without_attendance_decay,82,83,48,0.5,0.5,0.944954128440367,0.8620689655172413,0.9259259259259259,0.9279100529100529,0.9841915085817524,0.9390659744448404,0.03828785779863731,78,4,2,25,4
Cell_A_primary_50_50_without_attendance_decay,82,83,49,0.5,0.5,0.944954128440367,0.8620689655172413,0.9259259259259259,0.9279100529100529,0.9837398373983739,0.9349507481073918,0.03877072827145489,78,4,2,25,4
